scipianus,276,7,11
Mikester,361,6,11
mmd.avi,501,11,11
klamathix,530,5,11
r.dragos0,552,5,11
vld,572,3,11
hcretescu,634,7,11
teodor94,719,5,11
TheSlayer1006,764,1,11
dan.ghita,851,8,11
Iulia_Duta,931,4,11
blueskyz,1535,6,10
fmi.buzu.tudor67,1592,6,10
andrei14vl,1604,3,10
toby007,1682,4,10
roxana,1884,11,10
andreeaghetu,1969,7,10
stheeye,2003,2,9
stanescu.radu,2258,5,9
AlexDobrin,2358,3,9
denisx,2399,6,9
Wyvern77,2545,5,9
busesorin,2562,5,9
giga_software,3007,4,9
Unforgiven,4628,1,8
palcuiealex,6068,1,8
alexsimi66,6333,1,8
Leontin,7056,1,8
